Google Scholar Search Result
Venue: Learning Analytics
Years: None - 2013
==========================
Name         Publish?         Total
shridhar    No    0
Rahim Baig    No    0
Kent Strand    No    0
Chris Quillen    No    0
Maria Alejandra Ferrés    No    0
koray parkın    No    0
Maria Lopez-Nalda    No    0
Srinivasan    Yes    1
Patrick Calhoun    No    0
Ian Meli    No    0
Sharon Moonan-Seepaul    No    0
ruitao liu    No    0
Jalaja Valluru    No    0
Karan Vashisht    No    0
Randy N. Rodriguez Cabezas    No    0
Ruchira Jain    No    0
Vladislav Zotov    No    0
Hangjun Xu    No    0
DJ PADAMADAN    No    0
Chongyang Sun    No    0
Ali Asghar Behmanesh    No    0
